"metric","metric_type","video","n_nd","n_d","mean_nd","sd_nd","mean_d","sd_d","test","statistic","p_value","cohens_d","d_interpret","p_bonferroni","p_bh","p_bh_primary"
"Mean Rotation Speed","Primary","V1: Abandoned",20,20,40.3472469282191,11.8000637007722,37.8322306693862,9.93381066247118,"Welch t",0.729186139240702,0.470487828013732,0.23058890382253,"Small",1,0.920944843424687,0.831846970232693
"Mean Rotation Speed","Primary","V2: Beach",20,20,32.8849155039454,10.3428280478815,32.6344133095841,7.92209761825838,"Welch t",0.0859889140186076,0.931957240706619,0.0271920821823182,"Negligible",1,0.946083976625022,0.931957240706619
"Mean Rotation Speed","Primary","V3: Campus",20,20,36.5647317975004,10.253076792925,33.2013878490736,10.6883769661617,"Welch t",1.01554844614154,0.316278210668673,0.321144616405211,"Small",1,0.920944843424687,0.831846970232693
"Mean Rotation Speed","Primary","V4: Horror",20,20,25.1466000044543,12.0455125756866,23.1959752264951,10.2366581438043,"Mann-Whitney",218,0.635944551134455,0.174509834545381,"Negligible",1,0.920944843424687,0.831846970232693
"Mean Rotation Speed","Primary","V5: Surf",19,19,34.2092185637223,12.716033525055,28.1025536865654,9.69352927244804,"Welch t",1.66474523780992,0.105252331036735,0.540114676596389,"Medium",1,0.882028211182498,0.831846970232693
"SD Yaw","Primary","V1: Abandoned",20,20,95.8515658822101,17.0496959900351,99.0720387262502,18.3099933983085,"Welch t",-0.575659285207141,0.568256259807966,-0.182039449747904,"Negligible",1,0.920944843424687,0.831846970232693
"SD Yaw","Primary","V2: Beach",20,20,89.7993358959714,22.2268789120424,89.5423401899662,14.8047619122082,"Mann-Whitney",214,0.714979881465598,0.0136091372378955,"Negligible",1,0.920944843424687,0.831846970232693
"SD Yaw","Primary","V3: Campus",20,20,79.3080274690813,15.4355713714767,79.3324083851102,20.3881364843074,"Mann-Whitney",186,0.714979881465598,-0.00134833683311669,"Negligible",1,0.920944843424687,0.831846970232693
"SD Yaw","Primary","V4: Horror",20,20,28.8252879894024,9.91699324427668,37.6260448765441,20.2371692354129,"Mann-Whitney",156,0.239323703369337,-0.552268518973267,"Medium",1,0.920944843424687,0.831846970232693
"SD Yaw","Primary","V5: Surf",19,19,89.6883614996217,18.9915332106549,87.0510692395454,21.0267864912511,"Mann-Whitney",191,0.770326786579213,0.131634119112074,"Negligible",1,0.920944843424687,0.831846970232693
"SD Pitch","Primary","V1: Abandoned",20,20,16.7144779214708,5.42262991990039,19.5153766528042,6.32367919528503,"Welch t",-1.50366802202693,0.1411245137892,-0.475501579436534,"Small",1,0.882028211182498,0.831846970232693
"SD Pitch","Primary","V2: Beach",20,20,10.1728743662377,5.15766451123346,12.049980160295,5.79298156066638,"Welch t",-1.08230417587854,0.286028343168297,-0.342254631688765,"Small",1,0.920944843424687,0.831846970232693
"SD Pitch","Primary","V3: Campus",20,20,12.6337189166191,4.96129398976177,13.2902708210871,6.88930732288095,"Mann-Whitney",189,0.776390505550513,-0.109366857127743,"Negligible",1,0.920944843424687,0.831846970232693
"SD Pitch","Primary","V4: Horror",20,20,13.9826919320855,5.40441469734738,15.781935702897,6.6654535163118,"Welch t",-0.937691551546703,0.354576175696321,-0.296524104558476,"Small",1,0.920944843424687,0.831846970232693
"SD Pitch","Primary","V5: Surf",19,19,13.2891785828917,4.82711884884049,14.5196154499462,4.10783237098889,"Welch t",-0.846167284375236,0.403191216157502,-0.274532918771418,"Small",1,0.920944843424687,0.831846970232693
"SD Roll","Secondary","V1: Abandoned",20,20,6.74990625893645,4.59471531074198,5.95018218484084,2.18431817497755,"Mann-Whitney",197,0.946083976625022,0.222305782039265,"Small",1,0.946083976625022,NA
"SD Roll","Secondary","V2: Beach",20,20,3.92092906652666,1.93380184202011,4.34870669618575,4.34418507230377,"Mann-Whitney",216,0.675014156650488,-0.127223710882906,"Negligible",1,0.920944843424687,NA
"SD Roll","Secondary","V3: Campus",20,20,5.30588888006526,2.5940715970459,4.40134596941717,1.61148679699693,"Welch t",1.324628834391,0.194746091215285,0.418884417100955,"Small",1,0.920944843424687,NA
"SD Roll","Secondary","V4: Horror",20,20,3.08757029336507,1.26056413198326,3.18636427116432,1.32537606183576,"Welch t",-0.241549214722098,0.810431462213725,-0.0763845685546904,"Negligible",1,0.920944843424687,NA
"SD Roll","Secondary","V5: Surf",19,19,5.43572060309164,2.10199702576746,4.54673019261481,1.41898355189877,"Welch t",1.52793204219918,0.136483232815113,0.495726614553557,"Small",1,0.882028211182498,NA
"Total Movement","Secondary","V1: Abandoned",20,20,465791.257135186,92927.6822105274,487747.577208439,94074.1921739619,"Welch t",-0.742566627037017,0.462310637028616,-0.234820185586574,"Small",1,0.920944843424687,NA
"Total Movement","Secondary","V2: Beach",20,20,402517.005656124,102837.075148888,399678.46561087,54727.9554376462,"Welch t",0.108970837421605,0.913977106034637,0.0344596044788181,"Negligible",1,0.946083976625022,NA
"Total Movement","Secondary","V3: Campus",20,20,383877.316392917,82840.1131724841,388974.162971833,82926.0856850435,"Mann-Whitney",188,0.75574282763591,-0.0614943930494528,"Negligible",1,0.920944843424687,NA
"Total Movement","Secondary","V4: Horror",20,20,295493.664342884,94294.9823553869,367812.471332,165095.378176647,"Mann-Whitney",142,0.119855565959248,-0.537927749620388,"Medium",1,0.882028211182498,NA
"Total Movement","Secondary","V5: Surf",19,19,1354267.56091446,256414.733495637,1331526.75278778,258511.522004814,"Mann-Whitney",190,0.792741175808104,0.0883257334415163,"Negligible",1,0.920944843424687,NA
